year,population_top_n,problem,perfect_solve_count,perfect_solve_rate,nonzero_score_count,nonzero_score_rate,attempted_count,attempted_rate,average_score,average_score_among_attempts
1985,201,A1,125,0.6218905472636815,131,0.6517412935323383,192,0.9552238805970149,6.487562189054726,6.791666666666667
1985,201,A2,29,0.14427860696517414,165,0.8208955223880597,186,0.9253731343283582,5.587064676616915,6.037634408602151
1985,201,A3,100,0.4975124378109453,135,0.6716417910447762,154,0.7661691542288557,5.985074626865671,7.811688311688312
1985,201,A4,72,0.3582089552238806,137,0.681592039800995,170,0.845771144278607,6.0,7.094117647058823
1985,201,A5,44,0.21890547263681592,101,0.5024875621890548,147,0.7313432835820896,3.054726368159204,4.1768707482993195
1985,201,A6,8,0.03980099502487562,32,0.15920398009950248,54,0.26865671641791045,0.6119402985074627,2.2777777777777777
1985,201,B1,112,0.5572139303482587,171,0.8507462686567164,184,0.9154228855721394,7.019900497512438,7.668478260869565
1985,201,B2,3,0.014925373134328358,109,0.5422885572139303,146,0.7263681592039801,4.36318407960199,6.006849315068493
1985,201,B3,95,0.472636815920398,144,0.7164179104477612,167,0.8308457711442786,6.442786069651741,7.754491017964072
1985,201,B4,115,0.572139303482587,186,0.9253731343283582,197,0.9800995024875622,7.9054726368159205,8.065989847715736
1985,201,B5,14,0.06965174129353234,30,0.14925373134328357,91,0.4527363184079602,1.2338308457711442,2.7252747252747254
1985,201,B6,5,0.024875621890547265,25,0.12437810945273632,51,0.2537313432835821,0.472636815920398,1.8627450980392157
1986,201,A1,152,0.7562189054726368,199,0.9900497512437811,200,0.9950248756218906,9.298507462686567,9.345
1986,201,A2,155,0.7711442786069652,155,0.7711442786069652,188,0.9353233830845771,7.711442786069652,8.24468085106383
1986,201,A3,53,0.263681592039801,89,0.4427860696517413,115,0.572139303482587,3.6766169154228856,6.426086956521739
1986,201,A4,21,0.1044776119402985,60,0.29850746268656714,83,0.4129353233830846,1.955223880597015,4.734939759036145
1986,201,A5,13,0.06467661691542288,20,0.09950248756218906,59,0.2935323383084577,0.8507462686567164,2.8983050847457625
1986,201,A6,1,0.004975124378109453,18,0.08955223880597014,82,0.4079601990049751,0.4079601990049751,1.0
1986,201,B1,183,0.9104477611940298,199,0.9900497512437811,200,0.9950248756218906,9.567164179104477,9.615
1986,201,B2,123,0.6119402985074627,194,0.9651741293532339,196,0.9751243781094527,8.432835820895523,8.64795918367347
1986,201,B3,26,0.12935323383084577,49,0.24378109452736318,82,0.4079601990049751,1.8507462686567164,4.536585365853658
1986,201,B4,22,0.10945273631840796,53,0.263681592039801,112,0.5572139303482587,1.9751243781094527,3.544642857142857
1986,201,B5,10,0.04975124378109453,10,0.04975124378109453,68,0.3383084577114428,0.4975124378109453,1.4705882352941178
1986,201,B6,3,0.014925373134328358,3,0.014925373134328358,35,0.17412935323383086,0.14925373134328357,0.8571428571428571
1987,204,A1,72,0.35294117647058826,123,0.6029411764705882,168,0.8235294117647058,5.5,6.678571428571429
1987,204,A2,117,0.5735294117647058,187,0.9166666666666666,197,0.9656862745098039,8.068627450980392,8.355329949238579
1987,204,A3,119,0.5833333333333334,164,0.803921568627451,175,0.8578431372549019,7.4754901960784315,8.714285714285714
1987,204,A4,14,0.06862745098039216,70,0.3431372549019608,95,0.46568627450980393,1.7450980392156863,3.7473684210526317
1987,204,A5,8,0.0392156862745098,12,0.058823529411764705,69,0.3382352941176471,0.4852941176470588,1.434782608695652
1987,204,A6,5,0.024509803921568627,26,0.12745098039215685,106,0.5196078431372549,0.8676470588235294,1.669811320754717
1987,204,B1,148,0.7254901960784313,159,0.7794117647058824,174,0.8529411764705882,7.676470588235294,9.0
1987,204,B2,47,0.23039215686274508,58,0.28431372549019607,120,0.5882352941176471,2.6176470588235294,4.45
1987,204,B3,27,0.1323529411764706,81,0.39705882352941174,138,0.6764705882352942,3.0294117647058822,4.478260869565218
1987,204,B4,13,0.06372549019607843,77,0.37745098039215685,147,0.7205882352941176,2.0980392156862746,2.9115646258503403
1987,204,B5,10,0.049019607843137254,34,0.16666666666666666,50,0.24509803921568626,1.0931372549019607,4.46
1987,204,B6,8,0.0392156862745098,18,0.08823529411764706,80,0.39215686274509803,0.5833333333333334,1.4875
1988,208,A1,202,0.9711538461538461,208,1.0,208,1.0,9.759615384615385,9.759615384615385
1988,208,A2,174,0.8365384615384616,189,0.9086538461538461,204,0.9807692307692307,8.783653846153847,8.955882352941176
1988,208,A3,42,0.20192307692307693,83,0.39903846153846156,117,0.5625,3.2884615384615383,5.846153846153846
1988,208,A4,45,0.21634615384615385,121,0.5817307692307693,146,0.7019230769230769,4.447115384615385,6.335616438356165
1988,208,A5,32,0.15384615384615385,148,0.7115384615384616,157,0.7548076923076923,2.581730769230769,3.4203821656050954
1988,208,A6,59,0.28365384615384615,95,0.4567307692307692,116,0.5576923076923077,4.110576923076923,7.370689655172414
1988,208,B1,176,0.8461538461538461,203,0.9759615384615384,204,0.9807692307692307,9.557692307692308,9.745098039215685
1988,208,B2,88,0.4230769230769231,186,0.8942307692307693,204,0.9807692307692307,7.298076923076923,7.4411764705882355
1988,208,B3,20,0.09615384615384616,140,0.6730769230769231,167,0.8028846153846154,3.0336538461538463,3.7784431137724552
1988,208,B4,17,0.08173076923076923,23,0.11057692307692307,96,0.46153846153846156,0.8990384615384616,1.9479166666666667
1988,208,B5,9,0.04326923076923077,23,0.11057692307692307,68,0.3269230769230769,0.8701923076923077,2.661764705882353
1988,208,B6,38,0.18269230769230768,98,0.47115384615384615,115,0.5528846153846154,3.514423076923077,6.356521739130435
1994,206,A1,59,0.28640776699029125,201,0.9757281553398058,204,0.9902912621359223,8.330097087378642,8.411764705882353
1994,206,A2,169,0.8203883495145631,178,0.8640776699029126,200,0.970873786407767,8.436893203883495,8.69
1994,206,A3,0,0.0,138,0.6699029126213593,178,0.8640776699029126,3.4805825242718447,4.02808988764045
1994,206,A4,12,0.05825242718446602,67,0.32524271844660196,110,0.5339805825242718,2.262135922330097,4.236363636363636
1994,206,A5,20,0.0970873786407767,45,0.21844660194174756,102,0.49514563106796117,1.7621359223300972,3.5588235294117645
1994,206,A6,5,0.024271844660194174,34,0.1650485436893204,68,0.3300970873786408,1.0679611650485437,3.235294117647059
1994,206,B1,45,0.21844660194174756,198,0.9611650485436893,204,0.9902912621359223,6.077669902912621,6.137254901960785
1994,206,B2,28,0.13592233009708737,151,0.7330097087378641,190,0.9223300970873787,4.203883495145631,4.557894736842106
1994,206,B3,27,0.13106796116504854,146,0.7087378640776699,161,0.7815533980582524,2.9320388349514563,3.751552795031056
1994,206,B4,15,0.07281553398058252,47,0.22815533980582525,118,0.5728155339805825,1.0825242718446602,1.8898305084745763
1994,206,B5,11,0.05339805825242718,61,0.2961165048543689,76,0.36893203883495146,1.2233009708737863,3.3157894736842106
1994,206,B6,14,0.06796116504854369,52,0.2524271844660194,102,0.49514563106796117,1.4029126213592233,2.8333333333333335
1995,204,A1,115,0.5637254901960784,200,0.9803921568627451,202,0.9901960784313726,9.254901960784315,9.346534653465346
1995,204,A2,26,0.12745098039215685,67,0.3284313725490196,123,0.6029411764705882,2.4166666666666665,4.008130081300813
1995,204,A3,95,0.46568627450980393,195,0.9558823529411765,198,0.9705882352941176,8.269607843137255,8.52020202020202
1995,204,A4,39,0.19117647058823528,81,0.39705882352941174,164,0.803921568627451,3.0098039215686274,3.7439024390243905
1995,204,A5,1,0.004901960784313725,43,0.2107843137254902,86,0.4215686274509804,0.5392156862745098,1.2790697674418605
1995,204,A6,1,0.004901960784313725,2,0.00980392156862745,63,0.3088235294117647,0.08823529411764706,0.2857142857142857
1995,204,B1,124,0.6078431372549019,171,0.8382352941176471,182,0.8921568627450981,7.588235294117647,8.505494505494505
1995,204,B2,2,0.00980392156862745,98,0.4803921568627451,149,0.7303921568627451,3.593137254901961,4.919463087248322
1995,204,B3,54,0.2647058823529412,128,0.6274509803921569,177,0.8676470588235294,4.137254901960785,4.768361581920904
1995,204,B4,9,0.04411764705882353,149,0.7303921568627451,159,0.7794117647058824,4.200980392156863,5.389937106918239
1995,204,B5,72,0.35294117647058826,111,0.5441176470588235,153,0.75,4.642156862745098,6.189542483660131
1995,204,B6,3,0.014705882352941176,10,0.049019607843137254,71,0.3480392156862745,0.2696078431372549,0.7746478873239436
1996,206,A1,87,0.4223300970873786,175,0.8495145631067961,206,1.0,7.286407766990291,7.286407766990291
1996,206,A2,6,0.02912621359223301,132,0.6407766990291263,178,0.8640776699029126,2.563106796116505,2.966292134831461
1996,206,A3,63,0.3058252427184466,87,0.4223300970873786,134,0.6504854368932039,4.077669902912621,6.268656716417911
1996,206,A4,3,0.014563106796116505,43,0.2087378640776699,110,0.5339805825242718,0.883495145631068,1.6545454545454545
1996,206,A5,4,0.019417475728155338,23,0.11165048543689321,63,0.3058252427184466,0.5097087378640777,1.6666666666666667
1996,206,A6,4,0.019417475728155338,50,0.24271844660194175,96,0.46601941747572817,1.0339805825242718,2.21875
1996,206,B1,113,0.5485436893203883,206,1.0,206,1.0,9.325242718446601,9.325242718446601
1996,206,B2,85,0.41262135922330095,126,0.6116504854368932,154,0.7475728155339806,5.106796116504855,6.8311688311688314
1996,206,B3,20,0.0970873786407767,97,0.470873786407767,153,0.7427184466019418,2.4223300970873787,3.261437908496732
1996,206,B4,40,0.1941747572815534,72,0.34951456310679613,120,0.5825242718446602,2.5728155339805827,4.416666666666667
1996,206,B5,34,0.1650485436893204,50,0.24271844660194175,108,0.5242718446601942,2.1359223300970873,4.074074074074074
1996,206,B6,0,0.0,12,0.05825242718446602,35,0.16990291262135923,0.41262135922330095,2.4285714285714284
1997,205,A1,138,0.6731707317073171,152,0.7414634146341463,173,0.8439024390243902,7.195121951219512,8.526011560693641
1997,205,A2,42,0.2048780487804878,153,0.7463414634146341,172,0.8390243902439024,5.819512195121951,6.936046511627907
1997,205,A3,5,0.024390243902439025,76,0.37073170731707317,105,0.5121951219512195,1.8341463414634147,3.580952380952381
1997,205,A4,100,0.4878048780487805,133,0.6487804878048781,157,0.7658536585365854,5.907317073170732,7.713375796178344
1997,205,A5,22,0.1073170731707317,82,0.4,119,0.5804878048780487,2.3853658536585365,4.109243697478991
1997,205,A6,0,0.0,18,0.08780487804878048,53,0.25853658536585367,0.2,0.7735849056603774
1997,205,B1,171,0.8341463414634146,194,0.9463414634146341,204,0.9951219512195122,8.965853658536586,9.009803921568627
1997,205,B2,28,0.13658536585365855,34,0.16585365853658537,72,0.35121951219512193,1.473170731707317,4.194444444444445
1997,205,B3,1,0.004878048780487805,54,0.2634146341463415,143,0.697560975609756,0.8097560975609757,1.1608391608391608
1997,205,B4,23,0.11219512195121951,45,0.21951219512195122,80,0.3902439024390244,1.726829268292683,4.425
1997,205,B5,9,0.04390243902439024,57,0.2780487804878049,101,0.4926829268292683,1.0146341463414634,2.0594059405940595
1997,205,B6,5,0.024390243902439025,17,0.08292682926829269,68,0.33170731707317075,0.6439024390243903,1.9411764705882353
1998,199,A1,156,0.7839195979899497,183,0.9195979899497487,199,1.0,9.040201005025125,9.040201005025125
1998,199,A2,103,0.5175879396984925,181,0.9095477386934674,193,0.9698492462311558,7.934673366834171,8.181347150259068
1998,199,A3,82,0.4120603015075377,123,0.6180904522613065,162,0.8140703517587939,5.788944723618091,7.111111111111111
1998,199,A4,39,0.19597989949748743,174,0.8743718592964824,188,0.9447236180904522,5.798994974874372,6.138297872340425
1998,199,A5,85,0.4271356783919598,131,0.6582914572864321,139,0.6984924623115578,6.0201005025125625,8.618705035971223
1998,199,A6,12,0.06030150753768844,28,0.1407035175879397,120,0.6030150753768844,0.8442211055276382,1.4
1998,199,B1,112,0.5628140703517588,178,0.8944723618090452,190,0.9547738693467337,8.236180904522612,8.626315789473685
1998,199,B2,82,0.4120603015075377,115,0.5778894472361809,153,0.7688442211055276,5.0201005025125625,6.529411764705882
1998,199,B3,44,0.22110552763819097,60,0.3015075376884422,122,0.6130653266331658,2.592964824120603,4.229508196721311
1998,199,B4,42,0.21105527638190955,122,0.6130653266331658,146,0.7336683417085427,3.7537688442211055,5.116438356164384
1998,199,B5,55,0.27638190954773867,94,0.4723618090452261,123,0.6180904522613065,4.100502512562814,6.634146341463414
1998,199,B6,25,0.12562814070351758,50,0.25125628140703515,81,0.40703517587939697,2.0050251256281406,4.925925925925926
1999,205,A1,124,0.6048780487804878,189,0.9219512195121952,200,0.975609756097561,8.239024390243902,8.445
1999,205,A2,61,0.2975609756097561,111,0.5414634146341464,163,0.7951219512195122,4.809756097560975,6.049079754601227
1999,205,A3,103,0.5024390243902439,134,0.6536585365853659,161,0.7853658536585366,5.639024390243902,7.180124223602484
1999,205,A4,33,0.16097560975609757,68,0.33170731707317075,82,0.4,2.951219512195122,7.378048780487805
1999,205,A5,5,0.024390243902439025,23,0.11219512195121951,86,0.4195121951219512,0.5219512195121951,1.244186046511628
1999,205,A6,31,0.15121951219512195,57,0.2780487804878049,85,0.4146341463414634,2.3804878048780487,5.741176470588235
1999,205,B1,126,0.6146341463414634,166,0.8097560975609757,189,0.9219512195121952,7.614634146341463,8.25925925925926
1999,205,B2,38,0.18536585365853658,83,0.40487804878048783,157,0.7658536585365854,3.478048780487805,4.54140127388535
1999,205,B3,44,0.2146341463414634,75,0.36585365853658536,131,0.6390243902439025,2.5073170731707317,3.9236641221374047
1999,205,B4,0,0.0,1,0.004878048780487805,32,0.15609756097560976,0.00975609756097561,0.0625
1999,205,B5,0,0.0,1,0.004878048780487805,44,0.2146341463414634,0.00975609756097561,0.045454545454545456
1999,205,B6,3,0.014634146341463415,16,0.07804878048780488,96,0.4682926829268293,0.5902439024390244,1.2604166666666667
2000,195,A1,61,0.3128205128205128,143,0.7333333333333333,184,0.9435897435897436,4.1692307692307695,4.418478260869565
2000,195,A2,150,0.7692307692307693,152,0.7794871794871795,175,0.8974358974358975,7.748717948717949,8.634285714285713
2000,195,A3,64,0.3282051282051282,136,0.6974358974358974,163,0.8358974358974359,5.3076923076923075,6.3496932515337425
2000,195,A4,10,0.05128205128205128,22,0.11282051282051282,65,0.3333333333333333,0.7589743589743589,2.276923076923077
2000,195,A5,30,0.15384615384615385,47,0.24102564102564103,66,0.3384615384615385,2.230769230769231,6.590909090909091
2000,195,A6,1,0.005128205128205128,27,0.13846153846153847,84,0.4307692307692308,0.35384615384615387,0.8214285714285714
2000,195,B1,126,0.6461538461538462,166,0.8512820512820513,180,0.9230769230769231,7.425641025641026,8.044444444444444
2000,195,B2,114,0.5846153846153846,131,0.6717948717948717,166,0.8512820512820513,6.302564102564102,7.403614457831325
2000,195,B3,5,0.02564102564102564,63,0.3230769230769231,66,0.3384615384615385,1.0256410256410255,3.0303030303030303
2000,195,B4,14,0.07179487179487179,29,0.14871794871794872,135,0.6923076923076923,1.0512820512820513,1.5185185185185186
2000,195,B5,29,0.14871794871794872,73,0.37435897435897436,84,0.4307692307692308,2.9384615384615387,6.821428571428571
2000,195,B6,8,0.041025641025641026,9,0.046153846153846156,50,0.2564102564102564,0.4564102564102564,1.78
2001,200,A1,189,0.945,190,0.95,198,0.99,9.495,9.590909090909092
2001,200,A2,163,0.815,176,0.88,190,0.95,8.635,9.089473684210526
2001,200,A3,97,0.485,181,0.905,188,0.94,6.885,7.324468085106383
2001,200,A4,29,0.145,64,0.32,111,0.555,2.235,4.027027027027027
2001,200,A5,12,0.06,81,0.405,114,0.57,1.7,2.982456140350877
2001,200,A6,1,0.005,2,0.01,59,0.295,0.055,0.1864406779661017
2001,200,B1,136,0.68,174,0.87,194,0.97,8.25,8.505154639175258
2001,200,B2,38,0.19,50,0.25,102,0.51,2.08,4.078431372549019
2001,200,B3,120,0.6,160,0.8,165,0.825,6.675,8.090909090909092
2001,200,B4,43,0.215,95,0.475,129,0.645,4.245,6.5813953488372094
2001,200,B5,2,0.01,8,0.04,90,0.45,0.145,0.32222222222222224
2001,200,B6,9,0.045,18,0.09,58,0.29,0.775,2.6724137931034484
2002,210,A1,115,0.5476190476190477,183,0.8714285714285714,203,0.9666666666666667,7.585714285714285,7.847290640394089
2002,210,A2,75,0.35714285714285715,199,0.9476190476190476,200,0.9523809523809523,8.68095238095238,9.115
2002,210,A3,63,0.3,117,0.5571428571428572,143,0.680952380952381,4.776190476190476,7.013986013986014
2002,210,A4,61,0.2904761904761905,143,0.680952380952381,174,0.8285714285714286,5.185714285714286,6.258620689655173
2002,210,A5,21,0.1,109,0.5190476190476191,136,0.6476190476190476,3.719047619047619,5.742647058823529
2002,210,A6,3,0.014285714285714285,20,0.09523809523809523,78,0.37142857142857144,0.5,1.3461538461538463
2002,210,B1,162,0.7714285714285715,185,0.8809523809523809,200,0.9523809523809523,8.547619047619047,8.975
2002,210,B2,107,0.5095238095238095,192,0.9142857142857143,200,0.9523809523809523,8.014285714285714,8.415
2002,210,B3,30,0.14285714285714285,63,0.3,141,0.6714285714285714,1.7666666666666666,2.631205673758865
2002,210,B4,84,0.4,118,0.5619047619047619,168,0.8,5.042857142857143,6.303571428571429
2002,210,B5,28,0.13333333333333333,35,0.16666666666666666,62,0.29523809523809524,1.542857142857143,5.225806451612903
2002,210,B6,7,0.03333333333333333,23,0.10952380952380952,51,0.24285714285714285,0.7857142857142857,3.235294117647059
2003,201,A1,149,0.7412935323383084,192,0.9552238805970149,197,0.9800995024875622,8.805970149253731,8.98477157360406
2003,201,A2,55,0.2736318407960199,104,0.5174129353233831,139,0.6915422885572139,4.3283582089552235,6.258992805755396
2003,201,A3,10,0.04975124378109453,24,0.11940298507462686,124,0.6169154228855721,0.8606965174129353,1.3951612903225807
2003,201,A4,15,0.07462686567164178,113,0.5621890547263682,140,0.6965174129353234,1.9203980099502487,2.757142857142857
2003,201,A5,27,0.13432835820895522,36,0.1791044776119403,69,0.34328358208955223,1.4527363184079602,4.231884057971015
2003,201,A6,18,0.08955223880597014,39,0.19402985074626866,84,0.417910447761194,1.4129353233830846,3.380952380952381
2003,201,B1,62,0.30845771144278605,92,0.4577114427860697,175,0.8706467661691543,3.681592039800995,4.228571428571429
2003,201,B2,119,0.5920398009950248,172,0.8557213930348259,184,0.9154228855721394,6.990049751243781,7.635869565217392
2003,201,B3,97,0.48258706467661694,167,0.8308457711442786,179,0.8905472636815921,7.313432835820896,8.212290502793296
2003,201,B4,120,0.5970149253731343,150,0.746268656716418,166,0.8258706467661692,7.0049751243781095,8.481927710843374
2003,201,B5,31,0.15422885572139303,71,0.35323383084577115,107,0.5323383084577115,2.716417910447761,5.102803738317757
2003,201,B6,10,0.04975124378109453,20,0.09950248756218906,60,0.29850746268656714,0.5522388059701493,1.85
2004,196,A1,139,0.7091836734693877,175,0.8928571428571429,195,0.9948979591836735,8.362244897959183,8.405128205128205
